Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
1588,2019FA,No,No,No,3.5,No,3.75,COMMUTER,Yes,Not Applicable,Yes,2,0,0.00%,0,0,Not Applicable,5,100.00%
1589,2019FA,Yes,No,Yes,3.25,No,,COMMUTER,No,Not Applicable,Yes,0,0,0.00%,1,0,0.00%,0,0.00%
1590,2019FA,No,No,No,3.75,No,3.5,COMMUTER,Yes,Not Applicable,No,0,0,0.00%,0,0,Not Applicable,4,100.00%
1591,2019FA,No,No,No,3,Yes,3.425,RESIDENT,Yes,Not Applicable,No,2,0,0.00%,1,1,100.00%,4,100.00%
1592,2019FA,No,No,No,3.7778,No,3.489,RESIDENT,Yes,Not Applicable,Yes,2,0,0.00%,1,1,100.00%,6,100.00%
1593,2019FA,No,No,No,2.6667,Yes,2.133,RESIDENT,Yes,Not Applicable,No,2,1,25.00%,0,0,Not Applicable,2,50.00%
1594,2019FA,No,No,Yes,3,Yes,3.075,RESIDENT,Yes,Not Applicable,Yes,2,0,0.00%,2,2,100.00%,4,100.00%
1595,2019FA,No,No,No,2.5,No,3.175,RESIDENT,Yes,Not Applicable,Yes,0,0,0.00%,3,3,100.00%,5,100.00%
1596,2019FA,Yes,No,No,2.5,No,2.175,RESIDENT,Yes,Not Applicable,Yes,0,0,0.00%,0,0,Not Applicable,4,100.00%
1597,2019FA,No,No,Yes,2.1176,No,2.141,RESIDENT,Yes,Not Applicable,Yes,2,1,16.70%,0,0,Not Applicable,5,100.00%
1598,2019FA,No,No,No,4,No,3.925,RESIDENT,Yes,Not Applicable,Yes,2,0,0.00%,0,0,Not Applicable,4,100.00%
