Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
33,2017FA,No,No,No,0,No,0,RESIDENT,No,No,No,Data not valid,3,60.00%,1,0,0.00%,0,0.00%
34,2017FA,Unknown,Unknown,Yes,2,No,2.5,RESIDENT,Yes,No,No,Data not valid,2,40.00%,0,0,Not Applicable,4,100.00%
35,2017FA,No,No,No,1,No,1.925,RESIDENT,No,No,No,Data not valid,3,75.00%,0,0,Not Applicable,4,100.00%
36,2017FA,No,No,Yes,3.75,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
37,2017FA,Yes,No,No,2.75,No,2.325,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
38,2017FA,Yes,No,Yes,3,No,2.767,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,80.00%
39,2017FA,No,No,No,3.75,No,3.325,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
40,2017FA,Yes,No,Yes,3.5294,No,3.059,COMMUTER,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
41,2017FA,No,No,No,3.5,No,3.775,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
42,2017FA,No,No,Yes,1.5,No,1.425,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
43,2017FA,No,No,No,3.25,No,3,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
44,2017FA,No,No,Yes,3.25,No,3.35,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
45,2017FA,No,No,No,2.75,No,3,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
46,2017FA,No,No,No,1.6667,No,1.333,RESIDENT,Yes,No,Yes,Data not valid,1,20.00%,2,0,0.00%,2,40.00%
47,2017FA,No,No,No,4,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
48,2017FA,No,No,No,2.5882,Yes,2.677,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,0,0,Not Applicable,4,80.00%
49,2017FA,Yes,No,No,3.25,No,3.4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
50,2017FA,No,No,No,3.25,No,3.5,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
51,2017FA,No,No,No,1,No,1.86,RESIDENT,Yes,No,No,Data not valid,2,40.00%,1,0,0.00%,3,75.00%
52,2017FA,No,No,No,3.25,Yes,3.225,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
53,2017FA,No,No,Yes,3.25,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
54,2017FA,No,No,No,2.25,No,2.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
55,2017FA,Yes,Yes,Yes,3.5,No,3.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
56,2017FA,No,No,No,3.5,No,4,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
57,2017FA,No,No,No,3.75,No,3.5,RESIDENT,Yes,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
58,2017FA,No,No,No,3.75,No,3.675,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
59,2017FA,No,No,Yes,3.25,No,3.35,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
60,2017FA,No,No,No,2.5714,No,1.9,RESIDENT,No,No,No,Data not valid,1,20.00%,2,2,100.00%,4,80.00%
61,2017FA,No,No,No,4,No,3.85,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
62,2017FA,No,No,Yes,3.75,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
63,2017FA,No,No,No,3.7647,No,3.765,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
64,2017FA,No,No,No,3.7647,No,3.765,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
65,2017FA,No,No,No,3.5,No,3.175,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
66,2017FA,No,No,No,2,No,2.15,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
67,2017FA,No,No,No,2,No,1.15,RESIDENT,Yes,No,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
68,2017FA,No,No,No,2.3333,Yes,2.767,RESIDENT,No,No,Yes,Data not valid,1,20.00%,2,2,100.00%,4,100.00%
69,2017FA,Yes,Yes,No,3.75,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
70,2017FA,No,No,No,4,No,4,RESIDENT,No,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
71,2017FA,Yes,No,No,4,No,3.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
72,2017FA,No,No,No,1.5,Yes,1.425,RESIDENT,No,No,No,Data not valid,1,20.00%,2,2,100.00%,3,75.00%
73,2017FA,No,No,No,3,No,3.175,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
74,2017FA,No,No,No,2.75,No,3.25,RESIDENT,No,No,No,Data not valid,1,25.00%,2,2,100.00%,4,100.00%
75,2017FA,No,No,No,3.5,No,3.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
76,2017FA,Yes,No,No,3.75,Yes,3.65,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
77,2017FA,No,No,No,2.5,No,1.6,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,1,0,0.00%,3,75.00%
78,2017FA,No,No,No,3.75,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
79,2017FA,No,No,No,0,No,0.767,RESIDENT,Yes,Yes,No,Data not valid,4,100.00%,1,0,0.00%,1,25.00%
80,2017FA,No,No,No,2.75,Yes,2.9,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
81,2017FA,No,No,No,4,No,4,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
82,2017FA,No,No,No,3,Yes,3.3,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
83,2017FA,Yes,Yes,Yes,2.5,No,2.775,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
84,2017FA,No,No,No,2.5,No,2.333,RESIDENT,No,No,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
85,2017FA,No,No,Yes,2.25,No,0.767,RESIDENT,No,No,No,Data not valid,0,0.00%,2,0,0.00%,1,20.00%
86,2017FA,Yes,No,Yes,2,No,0.925,RESIDENT,No,No,No,Data not valid,2,40.00%,1,0,0.00%,1,25.00%
87,2017FA,No,No,No,1.5,No,0.775,RESIDENT,No,No,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
88,2017FA,No,No,No,3.5,No,3.35,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
89,2017FA,No,No,No,1.5,No,1.8,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,1,0,0.00%,3,75.00%
90,2017FA,No,No,No,1.6667,No,1.767,RESIDENT,No,No,No,Data not valid,2,66.70%,0,0,Not Applicable,3,100.00%
91,2017FA,No,No,No,1,No,1.567,RESIDENT,Yes,Yes,Yes,Data not valid,2,50.00%,0,0,Not Applicable,3,75.00%
92,2017FA,No,No,No,2.5,No,2.567,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,1,50.00%,3,75.00%
93,2017FA,No,No,No,3.75,No,2.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
94,2017FA,Yes,Yes,No,2.3333,No,2.9,RESIDENT,No,No,No,Data not valid,0,0.00%,2,0,0.00%,3,60.00%
95,2017FA,No,No,No,3.5,No,3.85,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
96,2017FA,No,No,No,3.5,No,3.675,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
97,2017FA,No,No,No,3.75,No,3.825,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
98,2017FA,No,No,No,0.75,No,1,RESIDENT,No,No,No,Data not valid,3,75.00%,0,0,Not Applicable,2,50.00%
99,2017FA,No,No,No,1,No,0.433,RESIDENT,No,No,No,Data not valid,3,60.00%,0,0,Not Applicable,1,25.00%
100,2017FA,No,No,No,0.25,No,1.2,RESIDENT,Yes,Yes,No,Data not valid,4,80.00%,0,0,Not Applicable,2,50.00%
101,2017FA,No,No,Yes,1.75,No,1.675,RESIDENT,No,No,No,Data not valid,2,40.00%,1,1,100.00%,4,100.00%
102,2017FA,No,No,No,3,No,2.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
103,2017FA,No,No,No,2,No,2.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
104,2017FA,Yes,No,Yes,4,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
105,2017FA,No,No,Yes,4,Yes,3.85,RESIDENT,No,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
106,2017FA,No,No,No,2,No,2,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
107,2017FA,No,No,No,3.5,No,3.775,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
108,2017FA,No,No,Yes,3.5,No,3.325,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
109,2017FA,No,No,No,3.75,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
110,2017FA,No,No,No,3.5556,Yes,3.525,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,6,100.00%
111,2017FA,No,No,No,3.75,No,3.75,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
112,2017FA,No,No,No,3.25,No,3.45,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
113,2017FA,No,No,No,1.5,No,1.8,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
114,2017FA,No,No,No,3.25,No,2.4,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
115,2017FA,No,No,No,2.75,No,1.975,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
116,2017FA,No,No,No,2.75,No,2.35,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
117,2017FA,Yes,No,No,2.5,No,2.575,COMMUTER,Yes,Yes,Yes,Data not valid,1,25.00%,1,1,100.00%,4,100.00%
118,2017FA,No,No,No,3,No,3.25,COMMUTER,No,No,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
119,2017FA,Yes,No,No,2.25,Yes,3,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
120,2017FA,No,No,Yes,3.75,No,3.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
121,2017FA,No,No,No,3.5,No,3.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
122,2017FA,No,No,No,2.5,No,1.175,RESIDENT,Yes,No,No,Data not valid,1,20.00%,1,1,100.00%,2,50.00%
123,2017FA,No,No,No,3,Yes,3.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
124,2017FA,No,No,No,2.4444,No,2.467,RESIDENT,No,No,No,Data not valid,1,20.00%,2,1,50.00%,4,80.00%
125,2017FA,No,No,No,3.2941,No,3.294,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
126,2017FA,Yes,Yes,Yes,3.75,No,3.75,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
127,2017FA,Yes,No,Yes,1.25,No,1.825,COMMUTER,No,No,No,Data not valid,2,40.00%,0,0,Not Applicable,4,100.00%
128,2017FA,Yes,No,No,1.5,No,1.65,RESIDENT,No,No,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
129,2017FA,No,No,No,3.7647,No,3.929,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,6,100.00%
130,2017FA,No,No,No,1.25,No,1.325,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,1,1,100.00%,3,75.00%
131,2017FA,No,No,No,3,No,3.575,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
132,2017FA,No,No,Yes,2.75,No,2.775,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
133,2017FA,No,No,No,3,No,3.367,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,3,100.00%
134,2017FA,No,No,No,1.25,Yes,2.1,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
135,2017FA,Yes,Yes,Yes,2.5,No,2,RESIDENT,No,No,No,Data not valid,1,20.00%,0,0,Not Applicable,3,75.00%
136,2017FA,No,No,No,1.25,No,2.1,RESIDENT,Yes,Yes,No,Data not valid,3,75.00%,0,0,Not Applicable,4,100.00%
137,2017FA,No,No,No,3,No,3.1,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
138,2017FA,No,No,No,1.5,No,2.133,RESIDENT,No,No,No,Data not valid,2,50.00%,0,0,Not Applicable,3,75.00%
139,2017FA,Yes,No,Yes,2.4444,No,1.825,COMMUTER,Yes,No,No,Data not valid,1,20.00%,1,1,100.00%,5,100.00%
140,2017FA,No,No,No,3.25,No,3.075,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
141,2017FA,Yes,No,No,3,Yes,3.2,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
142,2017FA,No,No,No,3.25,No,2.9,RESIDENT,No,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
143,2017FA,No,No,Yes,3,No,2.5,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
144,2017FA,No,No,No,4,No,4,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
145,2017FA,Yes,No,No,2.75,No,2.35,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
146,2017FA,No,No,No,3,No,3.75,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
147,2017FA,No,No,No,2.5,Yes,3,RESIDENT,Yes,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
148,2017FA,Yes,No,Yes,2.75,No,2.675,RESIDENT,Yes,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
149,2017FA,Yes,No,No,1.75,No,2,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
150,2017FA,No,No,No,2.75,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
151,2017FA,No,No,No,0.75,No,1.3,RESIDENT,Yes,Yes,No,Data not valid,4,100.00%,0,0,Not Applicable,3,75.00%
152,2017FA,No,No,No,2.75,No,2.975,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
153,2017FA,Yes,Yes,Yes,0.75,No,2.133,RESIDENT,Yes,Yes,No,Data not valid,3,75.00%,2,1,50.00%,3,75.00%
154,2017FA,No,No,No,2.75,No,2.85,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
155,2017FA,No,No,No,2.75,Yes,2.825,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,1,1,100.00%,4,100.00%
156,2017FA,No,No,No,2.8889,No,2.325,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
157,2017FA,No,No,Yes,2.5,No,3.075,RESIDENT,Yes,Yes,Yes,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
158,2017FA,No,No,No,2.4444,No,1.1,RESIDENT,No,No,No,Data not valid,1,20.00%,3,2,66.70%,4,80.00%
159,2017FA,No,No,Yes,2.6667,No,2.433,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
160,2017FA,Yes,No,Yes,2.75,No,1.775,RESIDENT,No,No,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
161,2017FA,Yes,No,No,2,No,3,RESIDENT,Yes,Yes,Yes,Data not valid,2,40.00%,2,1,50.00%,3,60.00%
162,2017FA,No,No,Yes,0,No,0,RESIDENT,No,No,No,Data not valid,4,80.00%,2,0,0.00%,0,0.00%
163,2017FA,No,No,No,2,No,2.425,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
164,2017FA,No,No,No,3.3333,Yes,3.333,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,4,4,100.00%,5,100.00%
165,2017FA,No,No,No,3.75,No,3.775,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
166,2017FA,No,No,No,3.5,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
167,2017FA,No,No,No,3,No,2.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
168,2017FA,No,No,No,0.5,No,0,RESIDENT,No,No,No,Data not valid,3,75.00%,1,0,0.00%,0,0.00%
169,2017FA,No,No,No,2.75,No,2.75,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
170,2017FA,No,No,No,3.75,Yes,3.65,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
171,2017FA,No,No,No,3.5,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
172,2017FA,No,No,No,2.5,No,3.15,RESIDENT,Yes,No,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
173,2017FA,No,No,No,3,Yes,2.35,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
174,2017FA,No,No,No,2.25,No,1.85,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
175,2017FA,No,No,No,3.5,No,3.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
176,2017FA,No,No,No,3.25,No,3.775,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
177,2017FA,No,No,No,2,No,2.1,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,2,0,0.00%,3,60.00%
178,2017FA,No,No,No,3.5,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
179,2017FA,Yes,No,Yes,4,No,3.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
180,2017FA,Yes,Yes,Yes,3.5,No,3.575,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
181,2017FA,No,No,No,3.5,No,3,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
182,2017FA,No,No,No,3.25,No,1.9,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,0,0.00%,3,75.00%
183,2017FA,Yes,No,No,3,No,3.25,COMMUTER,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
184,2017FA,Unknown,Unknown,Yes,2.25,No,2.2,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
185,2017FA,No,No,No,3.5,No,3.6,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
186,2017FA,No,No,No,3.5294,No,3.671,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
187,2017FA,Yes,No,No,3.75,Yes,3.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
188,2017FA,No,No,Yes,3.75,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
189,2017FA,No,No,No,3,No,3.175,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
190,2017FA,No,No,No,4,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
191,2017FA,No,No,No,3.75,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
192,2017FA,No,No,No,2.75,No,2.6,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
193,2017FA,Unknown,Unknown,Yes,2,No,2.9,RESIDENT,Yes,Yes,No,Data not valid,1,33.30%,0,0,Not Applicable,3,100.00%
194,2017FA,No,No,No,1.75,Yes,2.233,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
195,2017FA,Yes,No,Yes,2.75,No,2.767,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
196,2017FA,Yes,No,No,2.5,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
197,2017FA,No,No,No,3.25,No,3.525,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
198,2017FA,Yes,Yes,Yes,2.25,No,1.9,RESIDENT,No,No,Yes,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
199,2017FA,Yes,No,Yes,0.75,No,0.333,RESIDENT,No,No,Yes,Data not valid,3,60.00%,2,0,0.00%,1,20.00%
200,2017FA,Yes,No,Yes,2.5,No,3,COMMUTER,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
201,2017FA,No,No,Yes,3.5294,No,3.765,RESIDENT,Yes,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
202,2017FA,No,No,Yes,3.25,No,3.15,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
203,2017FA,Yes,No,Yes,1.25,No,2,RESIDENT,Yes,No,No,Data not valid,3,75.00%,1,1,100.00%,3,75.00%
204,2017FA,No,No,No,2.25,Yes,2.325,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
205,2017FA,No,No,No,2.5,No,2.6,RESIDENT,Yes,Yes,Yes,Data not valid,1,20.00%,2,2,100.00%,4,100.00%
206,2017FA,No,No,No,2.25,No,3,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
207,2017FA,Yes,Yes,No,3.25,No,3.1,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
208,2017FA,No,No,No,3,No,2.925,RESIDENT,Yes,No,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
209,2017FA,Yes,No,No,3.25,No,3.6,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
210,2017FA,No,No,No,3,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
211,2017FA,No,No,No,2.75,No,2.5,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
212,2017FA,No,No,No,2,No,1.925,RESIDENT,Yes,No,No,Data not valid,1,20.00%,1,1,100.00%,4,100.00%
213,2017FA,Yes,Yes,Yes,3,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
214,2017FA,No,No,No,3.75,No,3.675,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
215,2017FA,No,No,Yes,3,No,2.9,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
216,2017FA,No,No,No,3.2941,No,3.041,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
217,2017FA,No,No,No,3.25,No,3.075,RESIDENT,No,No,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
218,2017FA,Yes,No,No,2.5,No,1.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
219,2017FA,No,No,No,2.75,Yes,2.767,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
220,2017FA,No,No,No,3.5,No,3.15,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
221,2017FA,No,No,No,3.5,No,3.15,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
222,2017FA,No,No,No,3.75,No,3.6,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
223,2017FA,No,No,No,1.25,No,2.3,RESIDENT,Yes,No,No,Data not valid,3,75.00%,0,0,Not Applicable,3,75.00%
224,2017FA,No,No,No,3.75,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
225,2017FA,No,No,No,2.75,Yes,3.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
226,2017FA,No,No,No,3.2941,No,3.706,RESIDENT,No,No,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
227,2017FA,Yes,No,No,2.25,No,2.175,RESIDENT,Yes,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
228,2017FA,No,No,Yes,1.1765,No,1.794,RESIDENT,Yes,Yes,No,Data not valid,3,60.00%,0,0,Not Applicable,4,80.00%
